costGreen,costWhite,costBlue,costBlack,costRed,discColor,discAmt,expansion,level,vps,fileName
2,2,0,0,0,BLACK,1,STANDARD,1,0,1blk-1.png
2,0,0,0,1,BLACK,1,STANDARD,1,0,1blk-2.png
3,0,0,0,0,BLACK,1,STANDARD,1,0,1blk-3.png
0,0,4,0,0,BLACK,1,STANDARD,1,1,1blk-4.png
1,1,2,0,1,BLACK,1,STANDARD,1,0,1blk-5.png
1,1,1,0,1,BLACK,1,STANDARD,1,0,1blk-6.png
1,0,0,1,3,BLACK,1,STANDARD,1,0,1blk-7.png
0,2,2,0,1,BLACK,1,STANDARD,1,0,1blk-8.png
2,0,0,2,0,BLUE,1,STANDARD,1,0,1blu-1.png
0,1,0,2,0,BLUE,1,STANDARD,1,0,1blu-2.png
0,0,0,0,4,BLUE,1,STANDARD,1,1,1blu-3.png
0,0,0,3,0,BLUE,1,STANDARD,1,0,1blu-4.png
1,1,0,1,1,BLUE,1,STANDARD,1,0,1blu-5.png
1,1,0,1,2,BLUE,1,STANDARD,1,0,1blu-6.png
3,0,1,0,1,BLUE,1,STANDARD,1,0,1blu-7.png
2,1,0,0,2,BLUE,1,STANDARD,1,0,1blu-8.png
0,0,2,0,2,GREEN,1,STANDARD,1,0,1g-1.png
0,2,1,0,0,GREEN,1,STANDARD,1,0,1g-2.png
0,0,0,0,3,GREEN,1,STANDARD,1,0,1g-3.png
0,0,0,4,0,GREEN,1,STANDARD,1,1,1g-4.png
0,1,1,1,1,GREEN,1,STANDARD,1,0,1g-5.png
0,1,1,2,1,GREEN,1,STANDARD,1,0,1g-6.png
1,1,3,0,0,GREEN,1,STANDARD,1,0,1g-7.png
0,0,1,2,2,GREEN,1,STANDARD,1,0,1g-8.png
1,0,2,0,0,RED,1,STANDARD,1,0,1r-1.png
0,4,0,0,0,RED,1,STANDARD,1,1,1r-2.png
0,3,0,0,0,RED,1,STANDARD,1,0,1r-3.png
1,2,0,2,0,RED,1,STANDARD,1,0,1r-4.png
1,2,1,1,0,RED,1,STANDARD,1,0,1r-5.png
1,1,1,1,0,RED,1,STANDARD,1,0,1r-6.png
0,1,0,3,1,RED,1,STANDARD,1,0,1r-7.png
0,2,0,0,2,RED,1,STANDARD,1,0,1r-8.png
0,0,2,2,0,WHITE,1,STANDARD,1,0,1w-1.png
0,0,0,1,2,WHITE,1,STANDARD,1,0,1w-2.png
4,0,0,0,0,WHITE,1,STANDARD,1,1,1w-3.png
0,0,3,0,0,WHITE,1,STANDARD,1,0,1w-4.png
2,0,2,1,0,WHITE,1,STANDARD,1,0,1w-5.png
0,3,1,1,0,WHITE,1,STANDARD,1,0,1w-6.png
2,0,1,1,1,WHITE,1,STANDARD,1,0,1w-7.png
1,0,1,1,1,WHITE,1,STANDARD,1,0,1w-8.png
2,3,2,0,0,BLACK,1,STANDARD,2,1,2blk-1.png
5,0,0,0,3,BLACK,1,STANDARD,2,2,2blk-2.png
0,5,0,0,0,BLACK,1,STANDARD,2,2,2blk-3.png
0,0,0,6,0,BLACK,1,STANDARD,2,3,2blk-4.png
3,3,0,2,0,BLACK,1,STANDARD,2,1,2blk-5.png
4,0,1,0,2,BLACK,1,STANDARD,2,2,2blk-6.png
0,0,6,0,0,BLUE,1,STANDARD,2,3,2blu-1.png
0,0,5,0,0,BLUE,1,STANDARD,2,2,2blu-2.png
2,0,2,0,3,BLUE,1,STANDARD,2,1,2blu-3.png
3,0,2,3,0,BLUE,1,STANDARD,2,1,2blu-4.png
0,5,3,0,0,BLUE,1,STANDARD,2,2,2blu-5.png
0,2,0,4,1,BLUE,1,STANDARD,2,2,2blu-6.png
0,4,2,1,0,GREEN,1,STANDARD,2,2,2g-1.png
2,3,0,0,3,GREEN,1,STANDARD,2,1,2g-2.png
0,2,3,2,0,GREEN,1,STANDARD,2,1,2g-3.png
6,0,0,0,0,GREEN,1,STANDARD,2,3,2g-4.png
5,0,0,0,0,GREEN,1,STANDARD,2,2,2g-5.png
3,0,5,0,0,GREEN,1,STANDARD,2,2,2g-6.png
0,0,0,5,0,RED,1,STANDARD,2,2,2r-1.png
0,0,0,0,6,RED,1,STANDARD,2,3,2r-2.png
0,2,0,3,2,RED,1,STANDARD,2,1,2r-3.png
0,0,3,3,2,RED,1,STANDARD,2,1,2r-4.png
